"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Total Cost IC",
"No NIH Category available","Abbreviations;Address;Appalachian Region;Area;Arts;Award;Behavior;Behavior Therapy;Behavioral;Behavioral Medicine;Biological;Biology;Biometry;Breast;Cancer Biology;Cancer Center;Cancer Center Support Grant;Cancer Control;Cancer Control Research;Cancer Patient;Cancer Survivor;Cancer Survivorship;Cancer health equity;Catchment Area;Centers for Population Health;Cervical;Chemoprevention;Clinic;Clinical Sciences;Collaborations;Colorectal;Community Outreach;Comprehensive Cancer Center;Dentistry;Development;Diet;Discipline of Nursing;Doctor of Philosophy;Early Diagnosis;Ecology;Education;Ensure;Epidemiology;Etiology;Evidence based practice;Faculty;Federally Qualified Health Center;Funding;Future;Genetic;Genomics;Goals;Grant;Health;Health Services;Human;Human Papillomavirus;Human papilloma virus infection;Immigrant;Immunooncology;Immunotherapy;Incidence;Institution;Intervention;Intervention Studies;Intervention Trial;K-Series Research Career Programs;Laws;Lead;Longevity;Lung;Malignant Neoplasms;Manuscripts;Medical;Medicine;Mentors;Minority;Minority Groups;Molecular;Molecular Carcinogenesis;Molecular Epidemiology;Morbidity - disease rate;Nutrient;Obesity;Observational Study;Ohio;Outcome;Outcomes Research;Participant;Patient-Focused Outcomes;Patients;Pediatric Hospitals;Peer Review;Physical activity;Phytochemical;Policies;Population;Productivity;Public Health;Publications;Publishing;Quality of life;Research;Research Institute;Research Personnel;Resource Sharing;Resources;Risk;Risk Behaviors;Risk Factors;Rural;Safety;Science;Services;Surveys;System;Testing;Thinking;Tobacco;Tobacco use;Training;Translational Research;Treatment Efficacy;Underserved Population;United States National Institutes of Health;Universities;Vaccination;Women&apos;s Health;behavior test;clinical center;cohort;college;colorectal cancer prevention;community engagement;community organizations;genetic epidemiology;health disparity;high risk behavior;implementation science;implementation study;improved;large datasets;leukemia;member;mortality;multidisciplinary;next generation;patient population;prevent;programs;recruit;screening;survivorship;translational therapeutics;urban area;urban minority","Project 02: Cancer Control (CC)","n/a","9328217","VON AH, DIANE MARIE","Not Applicable","03","Unavailable","832127323","DLWBSLWAJWR1","832127323","DLWBSLWAJWR1","US","39.999598","-83.033131","6218701","OHIO STATE UNIVERSITY","COLUMBUS","OH","Domestic Higher Education","432101016","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM"," ","Research Centers","2024"," ","51942"," ","33296","18646"," ","NCI","10770443","12/12/2023 12:00:00 AM","PAR-20-043","5P30CA016058-48","5","P30","CA","016058","48"," "," ","9/12/1997 12:00:00 AM","11/30/2025 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","7758"," ",
"No NIH Category available","Address;Appalachian Region;Attention;Basic Science;Breast;Cancer Biology;Cancer Burden;Cancer Center;Cancer Center Support Grant;Cancer Control;Cancer Survivorship;Catchment Area;Chemoprevention;Clinical Research;Clinical Trials;Colorectal;Community Networks;Community Outreach;Comprehensive Cancer Center;Descriptor;Doctor of Philosophy;Education and Outreach;Educational Activities;Endometrial;Engineering;Etiology;FDA approved;Faculty;Fostering;Funding;Growth;Hematopoietic Neoplasms;Human Papilloma Virus Vaccination;Immunooncology;Institution;Intervention;Investments;Journals;Leadership;Lesbian Gay Bisexual Transgender Queer;Longevity;Lung;Malignant Neoplasms;Malignant neoplasm of cervix uteri;Manuscripts;Mission;Molecular Biology;Molecular Carcinogenesis;Morbidity - disease rate;Multicultural Education;Obesity;Ohio;Patients;Peer Review;Pharmaceutical Preparations;Policies;Population;Population Research;Population Sciences;Prevention;Prostate;Public Health;Publications;Publishing;Research;Resource Sharing;Resources;Rural;Scanning;Scientist;Screening for cancer;Strategic Planning;Therapeutic Trials;Thyroid Gland;Tobacco use;Training;Translating;Translational Research;Underserved Population;Universities;University resources;Vision;anti-cancer research;cancer genetics;cancer prevention;cancer research center director;clinical development;ethnic minority;innovation;leukemia;member;mortality;next generation;outreach;patient navigation;preclinical development;programs;racial minority;recruit;screening;survivorship;translational genomics;translational therapeutics","Cancer Center Support Grant","PROJECT NARRATIVEThe Ohio State University Comprehensive Cancer Center (OSUCCC) is a matrix cancer center that integratesand leverages all of the resources of the University to achieve its broad vision of creating a cancer free world.The OSUCCC addresses the public health needs of the catchment area (the state of Ohio) through researcheducation and community outreach and engagement as research conducted within the five OSUCCC Programsfocuses on high priority cancers for the OSUCCC including lung breast colorectal prostate endometrialcervical cancer thyroid and leukemia as well as tobacco use obesity and HPV vaccination. Screening andoutreach activities are provided to the populations across the lifespan that we serve especially those with higherburden of being diagnosd with cancer such as racial/ethnic minorities and other underserved populations (e.g.rural LGBTQ+ Appalachian) through targeted culturally appropriate education activities free cancerscreenings patient navigation community networking environmental scans and addressing policy issues.","10486730","POLLOCK, RAPHAEL E.","Not Applicable","03","SURGERY","832127323","DLWBSLWAJWR1","832127323","DLWBSLWAJWR1","US","39.999598","-83.033131","6218701","OHIO STATE UNIVERSITY","COLUMBUS","OH","SCHOOLS OF MEDICINE","432101016","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM","397","Research Centers","2024","5727388"," ","NCI","3689910","2037478"," ","NCI","10770425","12/12/2023 12:00:00 AM","PAR-20-043","5P30CA016058-48","5","P30","CA","016058","48"," ","SHAFIK, HASNAA","9/12/1997 12:00:00 AM","11/30/2025 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]"," ","5727388",
"No NIH Category available","Accounting;Address;Adoption;Adult;Affect;Cancer Burden;Cancer Patient;Carbon Monoxide;Cessation of life;Child;Child health care;Childhood;Community Health;Contracts;Cotinine;Counseling;Data;Developmental Delay Disorders;Disease;Documentation;Early Diagnosis;Effectiveness;Electronic cigarette;Electronics;Enrollment;Ensure;Exposure to;Family;Fire - disasters;Funding;Future;Goals;Health;Health Benefit;Health Services Accessibility;Health system;Home;Home visitation;Household;Insurance Coverage;Intervention;Interview;Life Expectancy;Link;Malignant Neoplasms;Medicaid;Minority;Morbidity - disease rate;Outcome;Parents;Persons;Population;Pregnancy Outcome;Prevention;Quality of life;Randomized;Randomized Controlled Trials;Research;Resources;Risk;Schools;Services;Smoke;Smoke-free home;Smoker;Smoking;Smoking Cessation Intervention;Surveys;System;Telephone;Testing;Time;Tobacco;Tobacco Dependence;Tobacco Use Cessation;Tobacco smoke;Tobacco use;United States;Visit;Work;arm;compare effectiveness;comparison intervention;cost;cost effective;cost effectiveness;design;eVisit;effectiveness testing;electronic health record system;evidence base;follow-up;free behavior;health care delivery;health care settings;household tobacco use;implementation framework;implementation intervention;improved;incremental cost;innovation;medically underserved;member;mortality;nicotine replacement;nicotine use;pediatrician;quitline;screening;service delivery;smoking cessation;suburb;success;survivorship;thirdhand smoke;three-arm study;tobacco cessation intervention;tobacco control;tobacco smoke exposure;tobacco user;tobacco-free;treatment arm;treatment as usual","Electronic Pediatric Office Systems to Support Treatment for Parental Tobacco Use","Project NarrativeThe objective of this research is to transform tobacco control treatment delivery in child healthcare offices bytesting the effectiveness of an innovative EHR systems platform (iEHR) with and without the additional supportof a community health navigator. The newly developed iEHR will facilitate universal screening for all householdmembers who smoke tobacco or are a dual user of tobacco and e-cigarettes and provide default tobaccocessation assistance to parents by generating nicotine replacement therapy prescriptions and referrals to freeresources (quitlines). Data on the cost-effectiveness of these approaches will help decision makers choosewhich intervention to implement in their organizations.","7122841","WINICKOFF, JONATHAN P","FIKS, ALEXANDER GABRIEL","08","Unavailable","073130411","FLJ7DQKLL226","073130411","FLJ7DQKLL226","US","42.363198","-71.068772","4907701","MASSACHUSETTS GENERAL HOSPITAL","BOSTON","MA","Independent Hospitals","021142621","UNITED STATES","N","1/1/2024 12:00:00 AM","12/31/2024 12:00:00 AM","393","Non-SBIR/STTR","2024","900304"," ","NCI","639852","260452"," ","NCI","10769784","12/21/2023 12:00:00 AM","PAR-18-559","5R01CA245145-05","5","R01","CA","245145","05"," ","PRUTZMAN, YVONNE M","1/1/2020 12:00:00 AM","12/31/2024 12:00:00 AM","Community-Level Health Promotion Study Section[CLHP]"," ","900304",
"No NIH Category available","Age;Animals;Anxiety;Attention;Behavioral;Biological Process;Cancer Patient;Cancer Survivor;Cancer Survivorship;Caring;Chronic;Clinic;Clinical;Cognitive;Coping Skills;Data;Development;Diagnosis;Disease;Disease Progression;Distress;Elements;Fatigue;Goals;Gynecologic Oncology;Health Benefit;Health Promotion;Home;Incidence;Internet;Intervention;Longterm Follow-up;Malignant Female Reproductive System Neoplasm;Malignant Neoplasms;Malignant neoplasm of ovary;Mediating;Mental Depression;Moods;Online Systems;Outcome;Outcome Measure;Participant;Patients;Population;Prognosis;Public Health;Quality of life;Randomized Controlled Trials;Recurrence;Relaxation;Reporting;Research;Rural;Site;Social isolation;Stress;Support System;Survival Rate;Survivors;Symptoms;Targeted Research;Testing;Time;Travel;Tumor Promotion;Videoconferencing;Woman;Work;acceptability and feasibility;active control;cohort;coping;depressive symptoms;direct application;efficacy evaluation;evidence base;experience;health related quality of life;implementation barriers;improved;in vitro Model;innovation;intervention effect;mindfulness;mindfulness-based stress reduction;novel;perceived stress;physical symptom;poor sleep;primary outcome;programs;psychosocial;rural setting;secondary outcome;side effect;skills;stress management;stress reduction;symposium;therapy design;tumor progression;urban residence;web-based intervention","Living Well: A Web-based Intervention to Improve Quality of Life in Rural and Urban Ovarian Cancer Survivors","Project NarrativeOvarian cancer survivors have a generally poor prognosis and often report multiple psychosocialconcerns and compromised health related quality of life (HRQOL); however research investigatingpsychosocial interventions in ovarian cancer survivors has been extremely limited. The overarching goalof this project is to examine the efficacy of an innovative web-based group conferencing interventionentitled Living Well (Web-Enhanced Lessons for Living) targeting key concerns of ovarian cancersurvivors vs. a Health Promotion active control intervention in a randomized controlled trial. Thesignificance of the application is that this intervention has the potential to overcome prior barriers to thedissemination of such psychosocial interventions and improve HRQOL thus providing public healthbenefits to an understudied and compromised cancer population with a high likelihood of recurrence.","1907072","LUTGENDORF, SUSAN K","Not Applicable","01","PSYCHOLOGY","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF ARTS AND SCIENCES","522421320","UNITED STATES","N","2/1/2024 12:00:00 AM","1/31/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","554095"," ","NCI","409907","144188"," ","NCI","10769722","2/1/2024 12:00:00 AM","PAR-18-559","5R01CA246540-05","5","R01","CA","246540","05"," ","NELSON, WENDY","2/1/2020 12:00:00 AM","1/31/2025 12:00:00 AM","Behavioral Medicine, Interventions and Outcomes Study Section[BMIO]"," ","554095",
"No NIH Category available","Accelerometer;Address;Adherence;Aftercare;Age;Behavior;Behavioral;Blinded;Body Weight decreased;Body mass index;Cardiovascular Diseases;Characteristics;Child;Child health care;Childhood;Childhood Cancer Treatment;Chronic Disease;Clinic;Collaborations;Data;Data Analyses;Diabetes Mellitus;Dietary Assessment;Eating;Eating Behavior;Effectiveness of Interventions;Energy Intake;Enrollment;Exercise;Family;Fatty acid glycerol esters;Florida;Frequencies;Future;Goals;Health;Health behavior change;Healthcare Systems;Healthy Eating;Height;Hour;Intake;Intervention;Late Effects;Maintenance;Manuals;Measures;Medical center;Metabolic syndrome;Modeling;Obesity;Obesity Epidemic;Outcome;Overweight;Pamphlets;Parents;Participant;Patient Recruitments;Patient Self-Report;Pediatric Hospitals;Pediatric Oncology;Perception;Physical activity;Population;Preventive;Public Health;Randomized;Randomized Controlled Trials;Recording of previous events;Reporting;Research;Research Personnel;Risk;Risk Reduction;Sampling;Siblings;Site;Survivors;Testing;Time;Translations;Universities;Videoconferencing;Virginia;Vulnerable Populations;Waist-Hip Ratio;Weight;Weight Gain;Work;acceptability and feasibility;adult obesity;base;behavior change;cancer therapy;childhood cancer survivor;clinical practice;data management;dietary;effectiveness evaluation;efficacy evaluation;efficacy testing;ethnic diversity;follow-up;healthy weight;high risk population;improved;intervention delivery;modifiable behavior;obesity in children;obesity risk;obesity treatment;physical conditioning;pilot trial;post intervention;primary outcome;racial diversity;recruit;role model;secondary outcome;sedentary activity;sugar;survivorship;treatment as usual;young adult","NOURISH-T+: A Randomized Control Trial Targeting Parents in Promoting Healthy Eating and Exercise Behaviors in Pediatric Cancer Survivors with Overweight/Obesity","Project NarrativeApproximately 40-50% of off-treatment pediatric cancer survivors (PCS) are overweight orobese; thereby increasing their risk for negative long-term physical health complications. Usingour successful pilot trial testing the preliminary feasibility and efficacy of NOURISH-for HealthyTransitions (NOURISH-T 5R21CA167259) as a base we address obesity in PCS by targetingparents as agents for change in modeling healthy eating and physical activity behaviors topromote positive PCS health behavior change and long-term healthy weight. This multi-siteapplication addresses the public health epidemic of obesity by conducting a randomized controltrial to test the efficacy of our intervention NOURISH-T+ across a diverse sample of PCS andtheir parents at four pediatric oncology clinics with the goal of establishing a framework forfuture translation and dissemination of NOURISH-T+.","8771048","STERN, MARILYN ","Not Applicable","15","OTHER HEALTH PROFESSIONS","069687242","NKAZLXLL7Z91","069687242","NKAZLXLL7Z91","US","28.074039","-82.395963","513807","UNIVERSITY OF SOUTH FLORIDA","TAMPA","FL","SCHOOLS OF ARTS AND SCIENCES","33612","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM","394","Non-SBIR/STTR","2024","470600"," ","NCI","372258","98342"," ","NCI","10769713","11/30/2023 12:00:00 AM","PAR-18-559","5R01CA240319-05","5","R01","CA","240319","05"," ","AGURS-COLLINS, TANYA","12/1/2019 12:00:00 AM","11/30/2025 12:00:00 AM","Psychosocial Development, Risk and Prevention Study Section[PDRP]"," ","470600",
"No NIH Category available"," ","Training Program for Cancer Prevention and Control","PROJECT NARRATIVECancer prevention and control research remains a high priority for the NCI. The proposed training program willtrain cancer control and prevention researchers to become independent and productive scientists to advancethe national priorities in improving access and quality of cancer prevention detection and treatment and toadvance the national goal of further reducing the burden of cancer.","2789199","SHIELDS, PETER G.","DOUBENI, CHYKE ABADAMA","03","INTERNAL MEDICINE/MEDICINE","832127323","DLWBSLWAJWR1","832127323","DLWBSLWAJWR1","US","39.999598","-83.033131","6218701","OHIO STATE UNIVERSITY","COLUMBUS","OH","SCHOOLS OF MEDICINE","432101016","UNITED STATES","N","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM","398","Training, Institutional","2024","315140"," ","NCI","338216","24657"," ","NCI","10769363","8/23/2024 12:00:00 AM","PA-20-142","2T32CA229114-06A1","2","T32","CA","229114","06","A1","LIM, SUSAN E","9/1/2018 12:00:00 AM","8/31/2029 12:00:00 AM","Institutional Training and Education Study Section (F)[NCI-F]"," ","315140",
"No NIH Category available"," ","Multidisciplinary Training in Gastrointestinal Cancers","PROJECT NARRATIVEGastrointestinal cancers constitute the plurality of cancer deaths in the United States yet there remains apressing need to train the next generation of scientists to conduct GI cancer research in an innovative andproductive manner. Leveraging strong support from Columbia University Irving Medical Center and the HerbertIrving Comprehensive Cancer Center we have developed a GI Cancer Training Program to identify and recruita diverse pool of trainees offer them a rigorous and individualized curriculum and provide them with researchexperience in gastrointestinal cancers working with one of our numerous expert and experienced facultymentor investigators at Columbia University.","9047196","ABRAMS, JULIAN ","RUSTGI, ANIL K; RYEOM, SANDRA ","13","INTERNAL MEDICINE/MEDICINE","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.8415","-73.9414","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","100323725","UNITED STATES","N","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM","398","Training, Institutional","2024","193144"," ","NCI","180800","12344"," ","NCI","10769254","8/23/2024 12:00:00 AM","PA-20-142","1T32CA285274-01","1","T32","CA","285274","01"," ","LIM, SUSAN E","9/1/2024 12:00:00 AM","8/31/2029 12:00:00 AM","Institutional Training and Education Study Section (F)[NCI-F]"," ","193144",
"No NIH Category available","Acceleration;Address;Androgen Receptor;Area;Aspirin;Biological Markers;Blood;Breast;Cancer Center;Cancer Center Support Grant;Cancer Patient;Cancer Survivorship;Catchment Area;Clinical;Clinical Trials;Cohort Studies;Collaborations;Complex;Data;Diagnosis;Diet;Direct Costs;Discipline;Disease;Epidemiologist;Epidemiology;Etiology;Feces;Fostering;Funding;Genomics;Goals;Histology;Incidence;Individual;Inherited;Institution;Investments;Laboratory Study;Location;Longevity;Malignant Breast Neoplasm;Malignant Neoplasms;Mammographic Density;Massachusetts;Metabolic Marker;Metabolism;Mission;Molecular;National Cancer Institute;Obesity;Observational epidemiology;Outcome;Paper;Patient Outcomes Assessments;Patients;Peer Review;Peer Review Grants;Pharmaceutical Preparations;Phase;Physical activity;Postdoctoral Fellow;Predictive Cancer Model;Primary Malignant Neoplasm of Liver;Primary carcinoma of the liver cells;Productivity;Prognostic Marker;Publications;Publishing;Recording of previous events;Research;Research Methodology;Research Personnel;Risk;Risk Factors;Role;Science;Strategic Planning;Structure;Tissues;Training;Translating;Translations;Tumor Subtype;Underrepresented Minority;United States National Institutes of Health;Urine;Woman;biomarker identification;cancer epidemiology;cancer prevention;cancer subtypes;career;cohort;energy balance;epidemiology study;follow-up;gastrointestinal;genetic variant;genomic biomarker;improved;innovation;inter-institutional;lifestyle factors;member;microbiome;modifiable risk;molecular marker;mortality;next generation;nonalcoholic steatohepatitis;novel;predictive marker;programs;prospective;randomized trial;screening;student mentoring;tool;tumor;understudied cancer","Program 07 Cancer Epidemiology","Project NarrativeNot Applicable.","8692463","ELIASSEN, A. HEATHER ","Not Applicable","07","Unavailable","076580745","DPMGH9MG1X67","076580745","DPMGH9MG1X67","US","42.337593","-71.108279","1464901","DANA-FARBER CANCER INST","BOSTON","MA","Independent Hospitals","022155450","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM"," ","Research Centers","2024"," ","39282"," ","39282","0"," ","NCI","10768667","11/22/2023 12:00:00 AM","PAR-20-043","5P30CA006516-59","5","P30","CA","006516","59"," "," ","3/10/1997 12:00:00 AM","11/30/2026 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","7152"," ",
"No NIH Category available","Acceleration;Address;African American population;Age;Antibody-drug conjugates;Artificial Intelligence;BRCA1 gene;Basic Science;Biological;Biology;Brain;Breast Cancer Patient;Cancer Center;Cancer Center Support Grant;Caring;Catchment Area;Cells;Characteristics;Clinic;Clinical;Clinical Trials;Collaborations;Collection;Cytotoxic T-Lymphocytes;Dana-Farber Cancer Institute;Data;Detection;Diagnosis;Direct Costs;Disease;Disparity;ERBB2 gene;Early Diagnosis;Ensure;FDA approved;Fertility;Funding;Genomics;Goals;Heterogeneity;Immunologics;Immunotherapeutic agent;Immunotherapy;Individual;Infrastructure;Institution;Knowledge;Laboratories;Late Effects;Lesion;Local Therapy;Malignant Breast Neoplasm;Malignant Neoplasms;Massachusetts;Metastatic malignant neoplasm to brain;Mission;Morbidity - disease rate;Mutation;Nature;Oncology;Paclitaxel;Paper;Pathogenesis;Patient Outcomes Assessments;Patients;Peer Review Grants;Pre-Clinical Model;Prevention;Prognosis;Publishing;Race;Regimen;Research;Research Personnel;Resistance;Resource Sharing;Socioeconomic Status;Strategic Planning;Systemic Therapy;T cell response;Toxic effect;Translational Research;Translations;Trastuzumab;Tumor Biology;Women&apos;s cohort;Work;age related;breast cancer metastasis;cancer care;cancer cell;improved;improved outcome;innovation;inter-institutional;investigator-initiated trial;member;mortality;mouse model;novel strategies;patient derived xenograft model;phase II trial;preclinical study;programmed cell death ligand 1;programs;racial disparity;screening;survivorship;targeted treatment;translational study;trial comparing;triple-negative invasive breast carcinoma;tumor;tumor microenvironment;young woman","Program 01 Breast Cancer","Project NarrativeNot Applicable.","11325538","TOLANEY, SARA M.","Not Applicable","07","Unavailable","076580745","DPMGH9MG1X67","076580745","DPMGH9MG1X67","US","42.337593","-71.108279","1464901","DANA-FARBER CANCER INST","BOSTON","MA","Independent Hospitals","022155450","UNITED STATES","N","12/1/2023 12:00:00 AM","11/30/2024 12:00:00 AM"," ","Research Centers","2024"," ","41560"," ","36350","5210"," ","NCI","10768659","11/22/2023 12:00:00 AM","PAR-20-043","5P30CA006516-59","5","P30","CA","006516","59"," "," ","3/10/1997 12:00:00 AM","11/30/2026 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","7148"," ",
"No NIH Category available","Acute;Address;Admission activity;Affect;Alzheimer&apos;s Disease;Alzheimer&apos;s disease related dementia;Alzheimer&apos;s disease risk;Amyloid;Apolipoprotein E;Atrophic;Autopsy;Axon;Biological Markers;Brain;Brain Diseases;Brain Injuries;Caring;Cerebrospinal Fluid;Cerebrovascular Disorders;Cessation of life;Climacteric;Clinical;Cognitive;Confusion;Consensus;Consent;Data;Delirium;Dementia;Development;Diagnosis;Diagnostic;Disease;Drug Exposure;Education;Endothelium;Enrollment;Family;Functional disorder;Funding;Future;HMGB1 gene;Healthcare;Hippocampus;Histopathology;Hospitals;Immobilization;Impaired cognition;Incidence;Infarction;Inflammation;Injury;Intensive Care Units;Intervention;Investigation;Knowledge;Leadership;Learning;Length of Stay;Life;Link;Location;Magnetic Resonance Imaging;Maintenance;Measures;Mediating;Medical;Memory;Nerve Degeneration;Neurofibrillary Tangles;Neuropsychology;Occupations;Outcome;Pathologic;Pathology;Pathway interactions;Patients;Perfusion;Persons;Phenotype;Plasma;Plasminogen Activator Inhibitor 1;Population;Preventive;Proteins;Publishing;Quality of life;Recovery;Rehabilitation therapy;Research;Respiratory Failure;Risk;Risk Factors;Sampling;Science;Sepsis;Shock;Structure;Surgical Intensive Care;Survivors;Synapses;Testing;Time;Universities;Ventilator;White Matter Disease;Work;brain abnormalities;cerebral atrophy;clinical risk;cognitive recovery;cognitive rehabilitation;cognitive reserve;cognitive testing;cohort;comorbidity;confusion assessment method;cost;diagnostic tool;executive function;follow-up;frailty;frontal lobe;functional outcomes;health care settings;imaging biomarker;microvascular pathology;modifiable risk;mortality;neuroimaging;neuroinflammation;neuropathology;participant enrollment;programs;protein TDP-43;public health relevance;repository;resilience;response;secondary analysis;survivorship;tau Proteins;vascular injury;white matter","BRAIN-ICU-2 Study: Bringing to Light the Risk Factors And Incidence of Neuropsychological Dysfunction (Dementia) in ICU Survivors 2nd Study","Project NarrativePUBLIC HEALTH RELEVANCE:Annually around the world millions of old (and even young) people cared for in Intensive Care Units (ICUs)suffer through a period of confusion or delirium. These ICU survivors have new life-altering long-lasting andoften permanent cognitive impairment which looks like Alzheimers disease and/or related dementias. ThisBRAIN-ICU-2 Study [Bringing to light the Risk factors And Incidence of Neuropsychological dysfunction(dementia) in ICU Survivors 2nd Study] will define the relationship between ICU delirium and dementia willexplain this unfortunate and life-changing brain damage in ICU survivors and will pave the way for preventiveprograms strategic rehabilitation and targeted future interventions.","6406882","ELY, E WESLEY","JEFFERSON, ANGELA L.; PATEL, MAYUR B","07","Unavailable","079917897","GYLUH9UXHDX5","079917897","GYLUH9UXHDX5","US","36.143784","-86.800995","10040927","VANDERBILT UNIVERSITY MEDICAL CENTER","NASHVILLE","TN","Independent Hospitals","372320011","UNITED STATES","N","2/1/2024 12:00:00 AM","1/31/2025 12:00:00 AM","866","Non-SBIR/STTR","2024","3155165"," ","NIA","2368336","786829"," ","NIA","10768538","1/25/2024 12:00:00 AM","PAR-18-029","5R01AG058639-05","5","R01","AG","058639","05"," ","ROBERTS, LUCI","4/15/2019 12:00:00 AM","1/31/2025 12:00:00 AM","ZAG1-ZIJ-G(O1)"," ","3155165",
"No NIH Category available","Address;Adherence;Affect;Aftercare;Automobile Driving;Beds;Behavior Therapy;Behavioral;Biometry;Cancer Control;Cancer Survivor;Cancer Survivorship;Circadian Dysregulation;Circadian Rhythms;Clinical;Clinical Investigator Award;Cognitive;Cognitive Therapy;Data;Depressed mood;Development Plans;Disease;Elements;Eligibility Determination;Fatigue;Feedback;Foundations;Funding;Future;Goals;Gynecologic Oncology;High Prevalence;Homeostasis;Impaired cognition;Individual;Interdisciplinary Study;Intervention;Interview;Israel;Light;Malignant Female Reproductive System Neoplasm;Malignant Neoplasms;Measures;Mediating;Medicine;Melatonin;Mentors;Mentorship;Methodology;Modeling;Nature;Nonpharmacologic Therapy;Outcome;Outcome Study;Pain;Participant;Patient Self-Report;Patients;Periodicity;Phase;Population;Procedures;Process;Protocols documentation;Qualitative Methods;Qualitative Research;Questionnaires;Randomized;Randomized Controlled Trials;Recommendation;Recording of previous events;Relaxation Therapy;Reporting;Research;Research Methodology;Research Personnel;Role;Sampling;Sleep;Sleep disturbances;Sleeplessness;Stimulus;Structure;Survivors;Testing;Time;Training;Treatment Efficacy;Urine;Work;Wrist;actigraphy;biobehavior;career development;circadian;circadian biology;design;efficacy evaluation;experience;follow-up;health related quality of life;improved;improvement on sleep;innovation;intervention delivery;intervention effect;multidisciplinary;multiphase optimization strategy;personalized intervention;phase 1 study;post intervention;primary outcome;programs;psychosocial;recruit;reduce symptoms;retention rate;secondary outcome;sleep difficulty;sleep health;sleep quality;sleep regulation;standard care;therapy development;treatment adherence;treatment effect;trial design;urinary","Improving sleep in gynecologic cancer survivors","PROJECT NARRATIVE Sleep disturbance is a prominent concern among gynecologic cancer survivors with severe and negativeimplications for health-related quality of life (HRQOL); however leading non-pharmacologic sleep interventionsoften do not maximally benefit this population possibly due to high treatment burden. The proposed study willidentify barriers and facilitators of treatment adherence and optimize a behavioral intervention to diminishsleep disturbance increase HRQOL and reduce symptom burden among gynecologic cancer survivors. Thisstudy will yield an improved treatment package to address the prevalent and impactful concern of sleepdisturbance among gynecologic cancer survivors.","14437245","FOX, RINA S","Not Applicable","07","NONE","806345617","ED44Y3W6P7B9","806345617","ED44Y3W6P7B9","US","32.232844","-110.959467","490201","UNIVERSITY OF ARIZONA","TUCSON","AZ","SCHOOLS OF NURSING","857210158","UNITED STATES","N","2/1/2024 12:00:00 AM","1/31/2025 12:00:00 AM","398","Other Research-Related","2024","173314"," ","NCI","160476","12838"," ","NCI","10768536","1/17/2024 12:00:00 AM","PA-19-116","5K08CA247973-04","5","K08","CA","247973","04"," ","RADAEV, SERGEY","2/1/2021 12:00:00 AM","1/31/2026 12:00:00 AM","Career Development Study Section (J)[NCI-J]"," ","173314",
